"school_id","org_name","url","latitude","longitude","school_donations","urban_rural_indicator","total","authority","org_type"
86,"Onehunga High School","http://www.onehungahigh.school.nz",-36.919501,174.770963,"Donations should not be requested, unless for a school camp","Major urban area",1082,"State","Secondary (Year 9-15)"
95,"Papatoetoe High School","http://www.papatoetoehigh.school.nz",-36.975523,174.871805,"Donations should not be requested, unless for a school camp","Major urban area",1745,"State","Secondary (Year 9-15)"
6977,"Hobsonville Point Secondary School","http://www.hpss.school.nz/",-36.79409,174.65521,"Donations should not be requested, unless for a school camp","Major urban area",952,"State","Secondary (Year 9-15)"
80,"Pakuranga College","http://www.pakuranga.school.nz",-36.89763,174.901771,"Donations should not be requested, unless for a school camp","Major urban area",2227,"State","Secondary (Year 9-15)"
96,"Aorere College","http://www.aorere.ac.nz/",-36.981416,174.833081,"Donations should not be requested, unless for a school camp","Major urban area",1740,"State","Secondary (Year 9-15)"
36,"Takapuna Grammar School","http://www.takapuna.school.nz",-36.800616,174.788477,"Donations may be requested","Major urban area",2194,"State","Secondary (Year 9-15)"
49,"Selwyn College","http://www.selwyn.school.nz",-36.86233,174.838551,"Donations may be requested","Major urban area",1631,"State","Secondary (Year 9-15)"
103,"Pukekohe High School","http://www.pukekohehigh.school.nz",-37.204552,174.905826,"Donations should not be requested, unless for a school camp","Medium urban area",1906,"State","Secondary (Year 9-15)"
105,"Waiuku College","http://www.waiuku-college.school.nz/",-37.251019,174.725723,"Donations should not be requested, unless for a school camp","Small urban area",998,"State","Secondary (Year 9-15)"
30,"Glenfield College","https://www.gc.ac.nz/",-36.779801,174.714953,"Donations should not be requested, unless for a school camp","Major urban area",728,"State","Secondary (Year 9-15)"
6930,"Botany Downs Secondary College","http://www.bdsc.school.nz",-36.934108,174.915446,"Donations may be requested","Major urban area",2009,"State","Secondary (Year 9-15)"
83,"Kelston Boys' High School","http://www.kbhs.school.nz",-36.898785,174.666886,"Donations should not be requested, unless for a school camp","Major urban area",817,"State","Secondary (Year 9-15)"
101,"Papakura High School","http://www.papakurahigh.school.nz",-37.062945,174.950801,"Donations should not be requested, unless for a school camp","Major urban area",1287,"State","Secondary (Year 9-15)"
102,"Rosehill College","http://www.rosehillcollege.school.nz",-37.076585,174.936559,"Donations should not be requested, unless for a school camp","Major urban area",1729,"State","Secondary (Year 9-15)"
54,"Auckland Grammar School","http://www.ags.school.nz",-36.869414,174.768851,"Donations may be requested","Major urban area",2754,"State","Secondary (Year 9-15)"
27,"Long Bay College","http://www.longbaycollege.com",-36.691395,174.738757,"Donations may be requested","Major urban area",1907,"State","Secondary (Year 9-15)"
78,"Avondale College","http://www.avcol.school.nz",-36.891482,174.691137,"Donations should not be requested, unless for a school camp","Major urban area",2818,"State","Secondary (Year 9-15)"
69,"Mt Albert Grammar School","http://www.mags.school.nz",-36.884707,174.725349,"Donations may be requested","Major urban area",3593,"State","Secondary (Year 9-15)"
38,"Westlake Girls' High School","http://www.westlakegirls.school.nz",-36.782458,174.752309,"Donations may be requested","Major urban area",2326,"State","Secondary (Year 9-15)"
854,"Vanguard Military School","http://www.vanguard.school.nz",-36.751681,174.698673,"Donations should not be requested, unless for a school camp","Major urban area",182,"State","Secondary (Year 9-15)"
97,"Sir Edmund Hillary Collegiate Senior School","http://www.sehc.school.nz",-36.951275,174.87553,"Donations should not be requested, unless for a school camp","Major urban area",665,"State","Secondary (Year 9-15)"
28,"Rangitoto College","http://www.rangitoto.school.nz",-36.737197,174.736684,"Donations may be requested","Major urban area",4097,"State","Secondary (Year 9-15)"
44,"Waitakere College","https://www.waitakerecollege.school.nz/",-36.867097,174.620712,"Donations should not be requested, unless for a school camp","Major urban area",2006,"State","Secondary (Year 9-15)"
31,"Birkenhead College","http://www.birkenhead.school.nz/",-36.799175,174.701151,"Donations should not be requested, unless for a school camp","Major urban area",535,"State","Secondary (Year 9-15)"
32,"Northcote College","http://www.northcote.school.nz",-36.808881,174.733677,"Donations may be requested","Major urban area",1516,"State","Secondary (Year 9-15)"
6929,"Alfriston College","http://www.alfristoncollege.school.nz",-37.017649,174.919792,"Donations should not be requested, unless for a school camp","Major urban area",1260,"State","Secondary (Year 9-15)"
91,"Mangere College","http://www.mangere.school.nz",-36.959618,174.791589,"Donations should not be requested, unless for a school camp","Major urban area",796,"State","Secondary (Year 9-15)"
64,"Epsom Girls Grammar School","http://www.eggs.school.nz",-36.876921,174.776577,"Donations may be requested","Major urban area",2283,"State","Secondary (Year 9-15)"
45,"Henderson High School","http://www.hhs.school.nz",-36.883656,174.628205,"Donations should not be requested, unless for a school camp","Major urban area",1079,"State","Secondary (Year 9-15)"
43,"Massey High School","http://www.masseyhigh.school.nz/",-36.84188,174.601693,"Donations should not be requested, unless for a school camp","Major urban area",2089,"State","Secondary (Year 9-15)"
37,"Westlake Boys High School","http://www.westlake.school.nz",-36.777366,174.749491,"Donations may be requested","Major urban area",2783,"State","Secondary (Year 9-15)"
41,"Macleans College","http://www.macleans.school.nz",-36.882722,174.914424,"Donations may be requested","Major urban area",2962,"State","Secondary (Year 9-15)"
53,"Auckland Girls' Grammar School","http://www.aggs.school.nz",-36.856867,174.753659,"Donations should not be requested, unless for a school camp","Major urban area",1167,"State","Secondary (Year 9-15)"
84,"Kelston Girls' College","http://www.kelstongirls.school.nz",-36.908063,174.664361,"Donations should not be requested, unless for a school camp","Major urban area",582,"State","Secondary (Year 9-15)"
65,"Glendowie College","http://www.gdc.school.nz",-36.862578,174.868137,"Donations may be requested","Major urban area",1218,"State","Secondary (Year 9-15)"
40,"Rutherford College","https://www.rutherford.school.nz/",-36.85259,174.646309,"Donations should not be requested, unless for a school camp","Major urban area",1571,"State","Secondary (Year 9-15)"
58,"Tangaroa College","http://www.tangaroa.school.nz",-36.972905,174.892909,"Donations should not be requested, unless for a school camp","Major urban area",1001,"State","Secondary (Year 9-15)"
88,"Otahuhu College","http://www.otahuhucollege.school.nz",-36.953118,174.840645,"Donations should not be requested, unless for a school camp","Major urban area",1172,"State","Secondary (Year 9-15)"
26,"Kaipara College","http://www.kaipara.school.nz/",-36.680156,174.459138,"Donations should not be requested, unless for a school camp","Small urban area",771,"State","Secondary (Year 9-15)"
48,"Western Springs College-Ngā Puna o Waiōrea","http://www.westernsprings.school.nz",-36.861976,174.717535,"Donations may be requested","Major urban area",1822,"State","Secondary (Year 9-15)"
